Title,Location,Price_Period,Date_Added_Updated,Bed_Bath_Toilet
5 BEDROOM TERRACE FOR RENT,"


 Osapa London Osapa Lekki Lagos ","  4,000,000 ",Added 03 Feb 2021,56
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 2nd Toll Gate Lekki Expressway Lekki Lagos ","  2,500,000 ",Added 03 Feb 2021,334
4 BEDROOM FLAT & APARTMENT FOR RENT,"


 Lekki Phase 1 Lekki Phase 1 Lekki Lagos ","  4,000,000 ",Added 03 Feb 2021,444
4 BEDROOM TERRACE FOR RENT,"


 Lekki Phase 1 Lekki Phase 1 Lekki Lagos ","  4,000,000 ",Added 03 Feb 2021,445
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Fifth Avenue Banana Island Ikoyi Lagos ","  16,000,000 ",Added 03 Feb 2021,334
3 BEDROOM HOUSE FOR RENT,"


 Oniru Oniru Victoria Island Lagos ","  4,000,000 ",Added 03 Feb 2021,34
1 BEDROOM FLAT & APARTMENT FOR RENT,"


 Ogombo Ogombo Ajah Lagos ","  900,000 ",Added 02 Feb 2021,11
4 BEDROOM DUPLEX FOR RENT,"


 Old Ikoyi Ikoyi Ikoyi Lagos ","  8,500,000 ",Added 02 Feb 2021,445
4 BEDROOM HOUSE FOR RENT,"


 Abacha Estate Ikoyi Ikoyi Lagos ","  8,000,000 ",Added 02 Feb 2021,44
4 BEDROOM FLAT & APARTMENT FOR RENT,"


 Lekki Lekki Phase 1 Lekki Lagos ","  4,000,000 ",Added 01 Feb 2021,445
SHOP FOR RENT,"


 Sanusi Fafunwa Street Victoria Island Victoria Island Lagos ","  1,715,000 ",Added 01 Feb 2021,2
SHOP FOR RENT,"


 Sanusi Fafunwa Victoria Island Victoria Island Lagos ","  1,224,000 ",Added 01 Feb 2021,
SHOP FOR RENT,"


 Sanusi Fafunwa Victoria Island Victoria Island Lagos ","  1,500,000 ",Added 01 Feb 2021,
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Banana Island Banana Island Ikoyi Lagos ","  20,000,000 ",Added 01 Feb 2021,334
4 BEDROOM HOUSE FOR RENT,"


 Oniru Oniru Victoria Island Lagos ","  5,000,000 ",Added 01 Feb 2021,44
COMMERCIAL PROPERTY FOR RENT,"


 At Lekki Phase 1 Lekki Lagos ","  18,000,000 ",Added 31 Jan 2021,
4 BEDROOM TERRACE FOR RENT,"


 At Banana Island Ikoyi Lagos ","  15,000,000 ",Added 31 Jan 2021,45
5 BEDROOM HOUSE FOR RENT,"


 At Lekki Phase 1 Lekki Lagos ","  15,000,000 ",Added 31 Jan 2021,56
5 BEDROOM DUPLEX FOR RENT,"


 Off Adeola Odeku Victoria Island Victoria Island Lagos ","  25,000,000 ",Added 31 Jan 2021,56
SHOP FOR RENT,"


 Sanusi Fafunwa Victoria Island Victoria Island Lagos ","  2,119,000 ",Added 30 Jan 2021,
WAREHOUSE FOR RENT,"


 Lateef Jakande Road, Agidingbi Agidinbgi Ikeja Lagos ","  14,000,000 ",Added 29 Jan 2021,2
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Ocean Palm Estate Sangotedo Ajah Lagos ","  1,500,000 ",Added 29 Jan 2021,33
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Lekki Phase 1 Lekki Phase 1 Lekki Lagos ","  70,000,000 ",Added 28 Jan 2021,33
OFFICE FOR RENT,"


 2 Awolowo Road Awolowo Road Ikoyi Lagos ","  26,000,000 ",Added 27 Jan 2021,
4 BEDROOM DUPLEX FOR RENT,"


 Ikota Ikota Lekki Lagos ","  4,000,000 ",Added 27 Jan 2021,445
4 BEDROOM DUPLEX FOR RENT,"


 Magodo Shangisha Phase 2 Gra Magodo Shangisha Ketu Lagos ","  4,000,000 ",Added 27 Jan 2021,445
4 BEDROOM TERRACE FOR RENT,"


 Ikate Elegushi Ikate Elegushi Lekki Lagos ","  6,000,000 ",Added 26 Jan 2021,44
HOTEL FOR RENT,"


 Island Ikoyi Banana Island Ikoyi Lagos ","  2,160,000 ",Added 26 Jan 2021,
4 BEDROOM DUPLEX FOR RENT,"


 Shonibare Estate Maryland Ikeja Lagos ","  6,000,000 ",Added 26 Jan 2021,44
